,prices,address,no_beds,baths,sqft,prediction,difference,deal
442,624900.0," 1351 S Indiana Pkwy, Chicago, IL 60605 ",3.0,3.0,2.0,1437258.6,-812358.625,good deal
365,275000.0," 444 W Fullerton Pkwy APT 1203, Chicago, IL 60614 ",3.0,2.0,2.3,1084804.1,-809804.125,good deal
428,719000.0," 3155 N Honore St, Chicago, IL 60657 ",3.0,3.0,2.3,1518618.9,-799618.875,good deal
461,775000.0," 1104 N Marshfield Ave #1, Chicago, IL 60622 ",3.0,3.0,2.5,1572859.1,-797859.125,good deal
166,290000.0," 8524 S Aberdeen St, Chicago, IL 60620 ",3.0,2.0,2.3,1084804.1,-794804.125,good deal
117,510000.0," 1523 W Granville Ave, Chicago, IL 60660 ",4.0,2.0,1.908,1303881.1,-793881.125,good deal
366,34900.0," 10634 S State St, Chicago, IL 60628 ",3.0,2.0,1.335,823094.9,-788194.875,good deal
367,299900.0," 4300 W Cullerton St, Chicago, IL 60623 ",3.0,2.0,2.277,1078566.4,-778666.375,good deal
499,599000.0," 3736 N Janssen Ave #C, Chicago, IL 60613 ",3.0,3.0,1.75,1369458.1,-770458.125,good deal
287,310000.0," 161 N Long Ave, Chicago, IL 60644 ",3.0,2.0,2.277,1078566.4,-768566.375,good deal
473,729000.0," 1120 N Lake Shore Dr #7B, Chicago, IL 60611 ",3.0,3.0,2.2,1491498.6,-762498.625,good deal
70,245000.0," 2139 W Gladys Ave #1, Chicago, IL 60612 ",3.0,2.0,2.0,1003443.6,-758443.625,good deal
236,549000.0," 433 W Briar Pl APT 8C, Chicago, IL 60657 ",4.0,2.0,1.908,1303881.1,-754881.125,good deal
276,550000.0," 2422 W 35th St, Chicago, IL 60632 ",4.0,2.0,1.908,1303881.1,-753881.125,good deal
455,749900.0," 1033 N Riverwalk St, Chicago, IL 60610 ",3.0,3.0,2.2,1491498.6,-741598.625,good deal
88,339900.0," 2911 N Merrimac Ave, Chicago, IL 60634 ",3.0,2.0,2.277,1078566.4,-738666.375,good deal
491,279900.0," 8145 S Kildare Ave, Chicago, IL 60652 ",3.0,2.0,2.025,1010223.9,-730323.875,good deal
58,359000.0," 4721 S Drexel Blvd #1S, Chicago, IL 60615 ",2.0,3.0,1.855,1072546.6,-713546.625,good deal
362,30000.0," 605 N Laramie Ave, Chicago, IL 60644 ",3.0,2.0,1.04,743090.6,-713090.625,good deal
35,165000.0," 7038 S Wabash Ave, Chicago, IL 60637 ",3.0,2.0,1.5,867843.1,-702843.125,good deal
414,154000.0," 10354 S Walden Pkwy, Chicago, IL 60643 ",3.0,2.0,1.418,845604.6,-691604.625,good deal
488,155000.0," 4432 S Prairie Ave #1, Chicago, IL 60653 ",3.0,2.0,1.4,840723.1,-685723.125,good deal
126,409000.0," 78 E Elm St APT 1, Chicago, IL 60611 ",3.0,2.0,2.3,1084804.1,-675804.125,good deal
179,35000.0," 38 W 112th Pl, Chicago, IL 60628 ",4.0,1.0,1.296,704091.1,-669091.125,good deal
437,339900.0," 6 E Monroe St APT 1603, Chicago, IL 60603 ",2.0,3.0,1.6,1003390.4,-663490.375,good deal
466,300000.0," 6338 W Eddy St, Chicago, IL 60634 ",3.0,2.0,1.842,960593.9,-660593.875,good deal
436,279900.0," 3926 W 104th St, Chicago, IL 60655 ",3.0,2.0,1.74,932931.4,-653031.375,good deal
429,120000.0," 5318 W Bloomingdale Ave, Chicago, IL 60639 ",3.0,2.0,1.15,772922.6,-652922.625,good deal
486,259900.0," 7314 N Ridge Blvd UNIT 2A, Chicago, IL 60645 ",3.0,2.0,1.66,911235.4,-651335.375,good deal
480,299900.0," 5142 S Wabash Ave #2, Chicago, IL 60615 ",3.0,2.0,1.8,949203.6,-649303.625,good deal
375,150000.0," 3831 W Arthington St, Chicago, IL 60624 ",3.0,2.0,1.241,797602.1,-647602.125,good deal
438,185000.0," 3950 N Lake Shore Dr APT 228, Chicago, IL 60613 ",3.0,2.0,1.35,827163.1,-642163.125,good deal
521,2499000.0," 1615 W North Ave, Chicago, IL 60622 ",5.0,6.0,1.06,3134549.0,-635549.0,good deal
255,164900.0," 7735 S Calumet Ave, Chicago, IL 60619 ",3.0,2.0,1.241,797602.1,-632702.125,good deal
406,116000.0," 1942 S Hamlin Ave, Chicago, IL 60623 ",3.0,2.0,1.044,744175.4,-628175.375,good deal
263,1475000.0," 533 N Marshfield Ave, Chicago, IL 60622 ",4.0,4.0,1.655,2102896.5,-627896.5,good deal
544,249900.0," 2749 W Lake St, Chicago, IL 60612 ",3.0,2.0,1.517,872453.6,-622553.625,good deal
245,470000.0," 1541 N Talman Ave #1, Chicago, IL 60622 ",3.0,2.0,2.3,1084804.1,-614804.125,good deal
298,90000.0," 1922 W Hood Ave #5A, Chicago, IL 60660 ",4.0,1.0,1.296,704091.1,-614091.125,good deal
87,210000.0," 5410 W Waveland Ave, Chicago, IL 60641 ",3.0,2.0,1.335,823094.9,-613094.875,good deal
529,420000.0," 939 W Winona St #2E, Chicago, IL 60640 ",3.0,2.0,2.1,1030563.9,-610563.875,good deal
75,274000.0," 860 N Lake Shore Dr #4M, Chicago, IL 60611 ",3.0,2.0,1.5,867843.1,-593843.125,good deal
123,149900.0," 880 N Lake Shore Dr APT 5G, Chicago, IL 60611 ",3.0,2.0,1.04,743090.6,-593190.625,good deal
404,339000.0," 5200 S Dorchester Ave APT 1, Chicago, IL 60615 ",3.0,2.0,1.7,922083.4,-583083.375,good deal
96,215000.0," 9136 S Michigan Ave, Chicago, IL 60619 ",3.0,2.0,1.241,797602.1,-582602.125,good deal
176,217000.0," 2809 W Ainslie St #3E, Chicago, IL 60625 ",3.0,2.0,1.241,797602.1,-580602.125,good deal
64,159900.0," 2237 S Sawyer Ave, Chicago, IL 60623 ",3.0,2.0,1.023,738480.1,-578580.125,good deal
18,495000.0," 1242 N Lake Shore Dr #6N, Chicago, IL 60610 ",2.0,3.0,1.855,1072546.6,-577546.625,good deal
215,225000.0," 314 N Waller Ave, Chicago, IL 60644 ",3.0,2.0,1.241,797602.1,-572602.125,good deal
240,894000.0," 1726 W Jarvis Ave, Chicago, IL 60626 ",3.0,3.0,2.1,1464378.6,-570378.625,good deal
33,409000.0," 6145 N Sheridan Rd APT 29D, Chicago, IL 60660 ",3.0,2.0,1.9,976323.6,-567323.625,good deal
258,139950.0," 2800 N Pine Grove Ave UNIT 5J, Chicago, IL 60657 ",4.0,1.0,1.296,704091.1,-564141.125,good deal
322,179900.0," 6420 S Marshfield Ave, Chicago, IL 60636 ",3.0,2.0,1.04,743090.6,-563190.625,good deal
515,395000.0," 3200 N Lake Shore Dr APT 605, Chicago, IL 60657 ",3.0,2.0,1.8,949203.6,-554203.625,good deal
242,189000.0," 3032 W North Ave APT G, Chicago, IL 60647 ",3.0,2.0,1.04,743090.6,-554090.625,good deal
187,220000.0," 5801 N Sheridan Rd APT 6B, Chicago, IL 60660 ",3.0,2.0,1.135,768854.6,-548854.625,good deal
139,159900.0," 9514 S University Ave, Chicago, IL 60628 ",4.0,1.0,1.296,704091.1,-544191.125,good deal
266,229000.0," 2853 W Congress Pkwy, Chicago, IL 60612 ",3.0,2.0,1.135,768854.6,-539854.625,good deal
485,315000.0," 1534 W Jonquil Ter, Chicago, IL 60626 ",3.0,2.0,1.4,840723.1,-525723.125,good deal
107,245000.0," 9852 S Forest Ave, Chicago, IL 60628 ",3.0,2.0,1.135,768854.6,-523854.625,good deal
